track_name,artist_name,artist_count,streams,days_released,is_ranked,chart_rank,inverse_rank,num_playlists,is_minor,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,843957510,494,1,88,0.011363636363636364,6036,1,98,0.71,0.17,0.61,0.36,0.0,0.08,0.05
The Next Episode,"Dr. Dre, Snoop Dogg",2,843309044,9230,0,0,0.0,31762,1,95,0.92,0.31,0.89,0.03,0.0,0.08,0.25
Apocalypse,Cigarettes After Sex,1,841749534,2576,1,17,0.058823529411764705,13091,0,94,0.37,0.17,0.47,0.02,0.46,0.11,0.03
Dream On,Aerosmith,1,838586769,18722,0,0,0.0,168,1,80,0.39,0.24,0.43,0.39,0.0,0.23,0.03
Bones,Imagine Dragons,1,838079900,1125,1,44,0.022727272727272728,4198,1,114,0.77,0.65,0.72,0.02,0.0,0.07,0.05
Santa Tell Me,Ariana Grande,1,834129063,3770,0,0,0.0,9408,0,133,0.46,0.53,0.63,0.05,0.0,0.3,0.18
Good Days,SZA,1,826623384,1202,1,2,0.5,10426,1,121,0.46,0.53,0.78,0.23,0.0,0.72,0.06
Freaks,Surf Curse,1,824420218,3257,1,3,0.3333333333333333,3006,0,180,0.35,0.41,0.94,0.0,0.63,0.05,0.05
Bad Habit,Steve Lacy,1,822633917,650,1,12,0.08333333333333333,8186,0,169,0.69,0.69,0.51,0.63,0.0,0.38,0.04
Lost,Frank Ocean,1,822239726,4482,1,11,0.09090909090909091,29499,1,123,0.91,0.49,0.61,0.03,0.0,0.17,0.22
cardigan,Taylor Swift,1,812019557,1355,1,29,0.034482758620689655,7923,1,130,0.61,0.53,0.58,0.55,0.0,0.27,0.04
Desesperados,"Chencho Corleone, Rauw Alejandro",2,809306935,1019,1,34,0.029411764705882353,6821,1,90,0.87,0.51,0.69,0.36,0.0,0.09,0.08
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,807561936,4561,0,0,0.0,12353,0,93,0.35,0.38,0.23,0.91,0.0,0.29,0.03
Golden,Harry Styles,1,807015863,1579,1,1,1.0,8429,1,140,0.45,0.25,0.84,0.21,0.0,0.13,0.06
Pink + White,Frank Ocean,1,806397070,2789,1,30,0.03333333333333333,21574,0,160,0.54,0.54,0.55,0.67,0.0,0.42,0.11
Cruel Summer,Taylor Swift,1,800840817,1691,1,100,0.01,7858,0,170,0.55,0.58,0.72,0.11,0.0,0.11,0.15
RAPSTAR,Polo G,1,797402345,1096,0,0,0.0,4731,0,81,0.79,0.44,0.54,0.41,0.0,0.13,0.24
Levitating,Dua Lipa,1,797196073,1474,0,0,0.0,9833,1,103,0.69,0.9,0.88,0.05,0.0,0.29,0.08
Space Song,Beach House,1,789753877,3386,1,4,0.25,17852,1,147,0.51,0.62,0.79,0.22,0.13,0.14,0.03
Style,Taylor Swift,1,786181836,3751,1,42,0.023809523809523808,7830,0,95,0.6,0.48,0.79,0.0,0.0,0.12,0.04
favorite crime,Olivia Rodrigo,1,783706581,1054,0,0,0.0,3681,0,173,0.4,0.19,0.29,0.86,0.0,0.34,0.04
DESPECHï¿,ROSALï¿½,1,782369383,621,1,33,0.030303030303030304,7613,0,130,0.92,0.78,0.62,0.18,0.0,0.06,0.1
Bored,Billie Eilish,1,777765388,2567,0,0,0.0,4204,0,120,0.6,0.11,0.33,0.9,0.0,0.08,0.05
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,775542072,917,1,26,0.038461538461538464,3423,1,170,0.64,0.14,0.7,0.09,0.0,0.09,0.08
Rockin' Around The Christmas Tree,Brenda Lee,1,769213520,24205,0,0,0.0,14994,0,140,0.7,0.85,0.41,0.71,0.0,0.45,0.05
La Santa,"Daddy Yankee, Bad Bunny",2,759208783,1501,1,20,0.05,4890,0,93,0.74,0.59,0.87,0.03,0.0,0.08,0.05
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,756907987,767,1,4,0.25,6111,0,95,0.76,0.96,0.7,0.18,0.0,0.33,0.04
golden hour,JVKE,1,751134527,634,1,36,0.027777777777777776,4511,1,94,0.51,0.14,0.59,0.65,0.18,0.25,0.03
Late Night Talking,Harry Styles,1,743693613,690,1,8,0.125,7461,0,115,0.71,0.9,0.73,0.3,0.0,0.11,0.05
Jingle Bell Rock,Bobby Helms,1,741301563,24570,0,0,0.0,10326,0,119,0.74,0.78,0.37,0.84,0.0,0.06,0.03
love nwantiti (ah ah ah),Ckay,1,726837877,1719,1,2,0.5,5669,1,93,0.74,0.53,0.73,0.61,0.0,0.13,0.04
Until I Found You,Stephen Sanchez,1,726434358,951,1,4,0.25,4427,0,202,0.34,0.25,0.51,0.69,0.0,0.18,0.04
SNAP,Rosa Linn,1,726307468,752,1,18,0.05555555555555555,3202,0,170,0.56,0.53,0.64,0.11,0.0,0.45,0.06
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,725980112,390,1,50,0.02,3090,1,148,0.67,0.83,0.76,0.48,0.0,0.08,0.03
About Damn Time,Lizzo,1,723894473,726,0,0,0.0,9021,1,109,0.84,0.72,0.74,0.1,0.0,0.34,0.07
About Damn Time,Lizzo,1,723894473,634,1,2,0.5,2332,1,109,0.84,0.72,0.74,0.1,0.0,0.34,0.07
we fell in love in october,girl in red,1,723043854,1966,0,0,0.0,6858,0,130,0.57,0.24,0.37,0.11,0.18,0.16,0.03
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,721975598,454,1,44,0.022727272727272728,5724,1,122,0.78,0.5,0.63,0.27,0.0,0.09,0.05
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,720825549,1167,0,0,0.0,8087,0,102,0.89,0.77,0.82,0.03,0.0,0.17,0.11
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,720434240,655,1,39,0.02564102564102564,3107,0,101,0.88,0.72,0.59,0.62,0.0,0.09,0.03
MAMIII,"Karol G, Becky G",2,716591492,789,1,28,0.03571428571428571,6809,1,94,0.84,0.9,0.7,0.09,0.0,0.14,0.08
SNAP,Rosa Linn,1,711366595,752,0,0,0.0,1818,0,170,0.56,0.52,0.64,0.11,0.0,0.45,0.07
I Was Never There,"The Weeknd, Gesaffelstein",2,705469769,2203,1,15,0.06666666666666667,4188,0,114,0.32,0.17,0.74,0.14,0.0,0.17,0.03
Master of Puppets (Remastered),Metallica,1,704171068,13917,0,0,0.0,6080,1,105,0.54,0.59,0.83,0.0,0.44,0.2,0.04
Bound 2,Kanye West,1,703301727,4116,1,7,0.14285714285714285,19806,0,149,0.37,0.28,0.66,0.14,0.0,0.09,0.05
After Hours,The Weeknd,1,698086140,1511,1,6,0.16666666666666666,8084,1,109,0.66,0.16,0.57,0.1,0.01,0.12,0.03
First Class,Jack Harlow,1,694525298,732,0,0,0.0,8737,0,107,0.91,0.32,0.56,0.03,0.0,0.11,0.1
Snowman,Sia,1,690104769,2655,0,0,0.0,5140,0,105,0.72,0.33,0.51,0.48,0.0,0.09,0.03
Lost in the Fire,"The Weeknd, Gesaffelstein",2,686734357,1915,1,2,0.5,7731,0,101,0.66,0.18,0.68,0.09,0.0,0.12,0.04
A Tu Merced,Bad Bunny,1,685071800,1501,1,11,0.09090909090909091,4214,0,92,0.86,0.89,0.79,0.17,0.0,0.11,0.06
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,685032533,2344,1,23,0.043478260869565216,4875,1,136,0.62,0.19,0.53,0.11,0.0,0.06,0.04
Reminder,The Weeknd,1,684675814,2692,1,17,0.058823529411764705,6518,0,160,0.71,0.4,0.5,0.16,0.0,0.16,0.22
Una Noche en Medellï¿½,Cris Mj,1,682475162,809,1,32,0.03125,5415,1,96,0.87,0.82,0.53,0.1,0.0,0.05,0.08
Romantic Homicide,d4vd,1,681583126,629,1,23,0.043478260869565216,2335,0,132,0.56,0.2,0.55,0.45,0.01,0.32,0.03
Cool for the Summer,Demi Lovato,1,677389855,3386,0,0,0.0,9243,1,114,0.59,0.3,0.62,0.01,0.0,0.08,0.04
Forgot About Dre,"Eminem, Dr. Dre",2,675039469,9230,0,0,0.0,19067,0,134,0.93,0.61,0.74,0.09,0.0,0.17,0.08
Do It To It,"Cherish, ACRAZE",2,674772936,963,0,0,0.0,12403,1,125,0.85,0.64,0.81,0.02,0.05,0.07,0.09
Hey Mor,"Ozuna, Feid",2,674072710,551,1,38,0.02631578947368421,4637,1,98,0.9,0.4,0.59,0.0,0.0,0.1,0.29
Volvï¿,"Aventura, Bad Bunny",2,673801126,980,1,10,0.1,5375,0,176,0.73,0.79,0.86,0.42,0.0,0.07,0.18
You Right,"Doja Cat, The Weeknd",2,672656250,1020,0,0,0.0,5073,0,129,0.83,0.44,0.62,0.02,0.0,0.08,0.06
Neverita,Bad Bunny,1,671365962,704,1,30,0.03333333333333333,2590,0,122,0.88,0.43,0.5,0.07,0.0,0.14,0.05
"jealousy, jealousy",Olivia Rodrigo,1,665765558,1054,0,0,0.0,3257,1,164,0.7,0.71,0.58,0.24,0.0,0.07,0.13
It's the Most Wonderful Time of the Year,Andy Williams,1,663832097,22093,0,0,0.0,8879,0,202,0.24,0.76,0.6,0.77,0.0,0.12,0.04
Gasolina,Daddy Yankee,1,657723613,7210,1,18,0.05555555555555555,6457,0,96,0.86,0.74,0.8,0.33,0.0,0.08,0.06
The Motto,"Tiï¿½ï¿½sto, Ava",2,656013912,887,1,6,0.16666666666666666,9151,1,118,0.75,0.46,0.76,0.03,0.0,0.09,0.04
Superman,"Eminem, Dina Rae",2,655466831,7989,1,14,0.07142857142857142,7615,1,130,0.8,0.64,0.76,0.02,0.0,0.2,0.06
Sunroof,"Nicky Youre, Dazy",2,652704649,858,1,17,0.058823529411764705,3741,0,131,0.77,0.84,0.71,0.35,0.0,0.15,0.04
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,651732901,1077,1,4,0.25,4893,0,120,0.72,0.67,0.72,0.0,0.0,0.13,0.04
After Dark,Mr.Kitty,1,646886885,3532,1,14,0.07142857142857142,1776,0,140,0.58,0.04,0.6,0.07,0.41,0.08,0.03
Here With Me,d4vd,1,635412045,632,1,23,0.043478260869565216,3246,0,132,0.58,0.27,0.48,0.5,0.0,0.12,0.03
Mistletoe,Justin Bieber,1,629173063,4847,0,0,0.0,9577,1,162,0.67,0.88,0.54,0.51,0.0,0.09,0.04
2055,Sleepy hallow,1,624515457,1091,0,0,0.0,2226,1,161,0.78,0.65,0.52,0.46,0.0,0.12,0.31
Sparks,Coldplay,1,624101957,8674,1,4,0.25,10826,0,103,0.37,0.17,0.27,0.75,0.05,0.1,0.03
Enchanted,Taylor Swift,1,621660989,5212,1,16,0.0625,4564,0,164,0.45,0.24,0.62,0.08,0.0,0.16,0.03
TQG,"Karol G, Shakira",2,618990393,411,1,49,0.02040816326530612,4284,1,180,0.72,0.61,0.63,0.67,0.0,0.09,0.28
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,618885532,662,1,27,0.037037037037037035,5871,0,163,0.54,0.4,0.67,0.0,0.0,0.09,0.17
Party,"Bad Bunny, Rauw Alejandro",2,614555082,704,1,4,0.25,3185,0,97,0.83,0.47,0.8,0.02,0.0,0.24,0.09
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,611994237,900,1,17,0.058823529411764705,7495,1,120,0.56,0.16,0.67,0.0,0.0,0.11,0.04
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,611700552,2693,1,32,0.03125,1275,1,90,0.59,0.52,0.48,0.38,0.05,0.1,0.11
Volando - Remix,"Sech, Bad Bunny, Mora",3,610045621,1006,1,19,0.05263157894736842,3272,0,154,0.66,0.63,0.69,0.21,0.0,0.11,0.07
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,609293408,676,1,14,0.07142857142857142,5281,0,101,0.74,0.43,0.69,0.12,0.0,0.12,0.07
Permission to Dance,BTS,1,608334048,1005,1,2,0.5,1801,0,125,0.7,0.65,0.74,0.01,0.0,0.34,0.04
Tarot,"Bad Bunny, Jhay Cortez",2,608228647,704,1,20,0.05,2482,1,114,0.8,0.42,0.68,0.02,0.0,0.66,0.04
august,Taylor Swift,1,607123776,1355,1,22,0.045454545454545456,7324,0,90,0.51,0.42,0.61,0.53,0.0,0.09,0.03
Te Felicito,"Shakira, Rauw Alejandro",2,606361689,719,1,9,0.1111111111111111,4796,0,174,0.7,0.57,0.64,0.23,0.0,0.08,0.32
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,601863821,599,1,38,0.02631578947368421,3430,0,95,0.87,0.57,0.55,0.1,0.0,0.29,0.07
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,600976848,718,1,30,0.03333333333333333,2790,0,101,0.34,0.32,0.57,0.78,0.0,0.2,0.03
Softcore,The Neighbourhood,1,599770206,2223,1,12,0.08333333333333333,3947,0,94,0.57,0.36,0.58,0.05,0.0,0.15,0.03
Miï¿½ï¿½n,"Tini, Maria Becerra",2,596152090,1076,1,16,0.0625,3406,0,92,0.85,0.92,0.54,0.16,0.0,0.29,0.07
CUFF IT,Beyoncï¿,1,595900742,620,1,10,0.1,7842,0,115,0.78,0.64,0.69,0.04,0.0,0.07,0.14
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,594482982,949,0,0,0.0,5199,1,146,0.85,0.22,0.37,0.13,0.0,0.07,0.3
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,593917618,949,1,6,0.16666666666666666,5403,0,168,0.67,0.29,0.47,0.05,0.0,0.22,0.26
Only Love Can Hurt Like This,Paloma Faith,1,588955257,3751,0,0,0.0,5148,0,91,0.57,0.3,0.89,0.1,0.0,0.33,0.08
Yandel 150,"Yandel, Feid",2,585695368,476,1,38,0.02631578947368421,3618,1,168,0.78,0.58,0.73,0.05,0.0,0.1,0.07
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,583687007,879,1,5,0.2,4635,0,93,0.63,0.21,0.52,0.28,0.0,0.09,0.03
Toxic,BoyWithUke,1,582981380,942,0,0,0.0,1795,1,180,0.59,0.69,0.61,0.84,0.0,0.46,0.36
House Of Memories,Panic! At The Disco,1,582863434,3007,0,0,0.0,2948,1,110,0.51,0.48,0.82,0.0,0.0,0.05,0.03
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,579395142,10330,0,0,0.0,18773,0,92,0.77,0.76,0.84,0.03,0.0,0.38,0.04
Mon Amour - Remix,"Aitana, zzoilo",2,578207856,1296,1,2,0.5,3221,0,116,0.75,0.36,0.76,0.12,0.0,0.1,0.1
Rich Flex,"Drake, 21 Savage",2,573633020,522,1,18,0.05555555555555555,4657,1,153,0.56,0.42,0.52,0.05,0.0,0.36,0.24
Atlantis,Seafret,1,571386359,3275,1,6,0.16666666666666666,3045,1,166,0.4,0.23,0.48,0.05,0.0,0.12,0.03
Angels Like You,Miley Cyrus,1,570515054,1229,1,19,0.05263157894736842,3372,0,122,0.67,0.49,0.64,0.1,0.0,0.1,0.03
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,566954746,982,0,0,0.0,6026,1,120,0.77,0.51,0.79,0.2,0.0,0.26,0.06
Still Don't Know My Name,Labrinth,1,563902868,1649,0,0,0.0,6332,0,88,0.31,0.31,0.63,0.47,0.27,0.21,0.12
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,560222750,956,1,5,0.2,6308,0,134,0.71,0.14,0.61,0.01,0.0,0.23,0.33
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,556585270,713,1,14,0.07142857142857142,5491,0,83,0.46,0.34,0.64,0.31,0.0,0.07,0.34
Formula,Labrinth,1,554875730,1649,1,7,0.14285714285714285,3444,0,145,0.57,0.23,0.66,0.04,0.06,0.15,0.04
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,553634067,389,1,44,0.022727272727272728,2953,1,170,0.81,0.56,0.48,0.21,0.0,0.08,0.33
Pink Venom,BLACKPINK,1,551305895,599,1,16,0.0625,1963,0,90,0.8,0.71,0.69,0.02,0.0,0.27,0.1
Envolver,Anitta,1,546191065,880,1,2,0.5,4673,1,92,0.81,0.4,0.73,0.15,0.0,0.09,0.08
Es un Secreto,Plan B,1,540654286,5012,1,36,0.027777777777777776,492,1,95,0.84,0.52,0.77,0.12,0.0,0.07,0.04
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,540539717,1684,0,0,0.0,2696,0,120,0.58,0.44,0.6,0.44,0.09,0.05,0.06
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,539595276,886,0,0,0.0,4771,0,97,0.68,0.72,0.78,0.04,0.0,0.07,0.05
La Jumpa,"Arcangel, Bad Bunny",2,538115192,496,1,34,0.029411764705882353,3794,0,123,0.71,0.58,0.7,0.3,0.0,0.32,0.19
Escapism.,"RAYE, 070 Shake",2,532336353,545,1,25,0.04,5129,0,96,0.54,0.25,0.74,0.14,0.0,0.09,0.11
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,530511203,1488,0,0,0.0,6734,0,95,0.77,0.4,0.47,0.02,0.0,0.09,0.03
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,528544703,1020,0,0,0.0,6556,1,172,0.74,0.79,0.66,0.11,0.0,0.08,0.16
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,527033089,7280,1,2,0.5,2954,0,95,0.81,0.56,0.7,0.04,0.0,0.05,0.24
Feliz Navidad,Josï¿½ï¿½ Felic,1,520034544,19518,0,0,0.0,3788,0,148,0.5,0.96,0.82,0.47,0.0,0.34,0.04
Die For You - Remix,"Ariana Grande, The Weeknd",2,518745108,410,1,47,0.02127659574468085,3408,1,67,0.53,0.5,0.53,0.23,0.0,0.44,0.07
Get Into It (Yuh),Doja Cat,1,516784627,1019,0,0,0.0,4999,1,92,0.91,0.79,0.66,0.32,0.0,0.09,0.16
Sobrio,Maluma,1,513643924,1006,1,10,0.1,3506,0,178,0.76,0.63,0.77,0.14,0.0,0.15,0.22
Tacones Rojos,Sebastian Yatra,1,510876816,900,1,9,0.1111111111111111,3047,1,123,0.75,0.93,0.86,0.08,0.0,0.14,0.03
Sky,Playboi Carti,1,506778838,1201,1,3,0.3333333333333333,3297,0,140,0.79,0.56,0.91,0.26,0.0,0.13,0.21
un x100to,"Bad Bunny, Grupo Frontera",2,505671438,358,1,40,0.025,2876,1,83,0.57,0.56,0.72,0.23,0.0,0.27,0.05
Made You Look,Meghan Trainor,1,502574952,536,1,6,0.16666666666666666,3956,0,145,0.84,0.88,0.53,0.35,0.0,0.08,0.07
Life Goes On,Oliver Tree,1,501541661,1362,0,0,0.0,2868,0,80,0.7,0.57,0.49,0.19,0.0,0.12,0.08
Light Switch,Charlie Puth,1,500340342,811,0,0,0.0,4049,0,184,0.69,0.91,0.63,0.11,0.0,0.09,0.31
Ain't Shit,Doja Cat,1,499710590,1019,0,0,0.0,3436,0,124,0.86,0.62,0.49,0.51,0.0,0.35,0.21
Swim,Chase Atlantic,1,498960285,2379,0,0,0.0,2742,0,120,0.67,0.08,0.54,0.27,0.0,0.08,0.04
Miss You,"Robin Schulz, Oliver Tree",2,497225336,613,1,10,0.1,5730,1,145,0.59,0.2,0.74,0.01,0.0,0.15,0.05
Cupid - Twin Ver.,Fifty Fifty,1,496795686,410,1,77,0.012987012987012988,2942,1,120,0.78,0.76,0.59,0.43,0.0,0.34,0.03
Boyfriend,Dove Cameron,1,496311364,788,0,0,0.0,3766,1,180,0.35,0.23,0.61,0.23,0.0,0.19,0.06
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,489945871,949,0,0,0.0,5481,1,136,0.8,0.33,0.6,0.0,0.0,0.32,0.14
Lavender Haze,Taylor Swift,1,488386797,536,1,8,0.125,3763,0,97,0.73,0.1,0.44,0.26,0.0,0.16,0.08
Underneath the Tree,Kelly Clarkson,1,485285717,3819,0,0,0.0,6596,0,160,0.51,0.69,0.81,0.0,0.0,0.21,0.05
Doja,Central Cee,1,482257456,629,1,44,0.022727272727272728,4169,0,140,0.91,0.97,0.57,0.38,0.0,0.4,0.29
Shut Down,BLACKPINK,1,482175240,571,1,17,0.058823529411764705,1524,0,110,0.82,0.67,0.69,0.0,0.0,0.18,0.04
Do They Know It's Christmas? - 1984 Version,Band Aid,1,481697415,14380,0,0,0.0,14169,0,115,0.6,0.23,0.57,0.0,0.02,0.27,0.03
"Sex, Drugs, Etc.",Beach Weather,1,480507035,2713,1,16,0.0625,3006,1,144,0.57,0.47,0.84,0.01,0.01,0.52,0.04
La Corriente,"Tony Dize, Bad Bunny",2,479655659,704,1,8,0.125,1796,1,196,0.66,0.58,0.79,0.23,0.0,0.22,0.2
LA INOCENTE,"Feid, Mora",2,477033549,739,1,37,0.02702702702702703,2598,1,92,0.76,0.46,0.79,0.31,0.0,0.07,0.06
Holly Jolly Christmas,Michael Bublï¿,1,476244795,4561,0,0,0.0,7655,0,151,0.65,0.7,0.47,0.87,0.0,0.09,0.04
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,473248298,27127,0,0,0.0,10585,0,143,0.6,0.86,0.32,0.88,0.0,0.34,0.06
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,471819764,624,1,30,0.03333333333333333,3301,1,102,0.83,0.58,0.83,0.21,0.0,0.1,0.05
Mount Everest,Labrinth,1,467727006,1754,0,0,0.0,5443,1,89,0.46,0.43,0.43,0.23,0.08,0.08,0.22
Lovers Rock,TV Girl,1,466231982,3596,1,13,0.07692307692307693,6339,1,105,0.56,0.57,0.87,0.0,0.01,0.1,0.04
Oh My God,Adele,1,466214729,872,0,0,0.0,4431,0,88,0.53,0.55,0.73,0.09,0.0,0.03,0.05
Cï¿½ï¿½,Rauw Alejandro,1,465959382,1019,1,3,0.3333333333333333,2636,1,102,0.77,0.26,0.63,0.58,0.0,0.11,0.05
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,463564958,502,1,19,0.05263157894736842,995,1,136,0.77,0.79,0.73,0.15,0.0,0.27,0.1
Ferrari,"James Hype, Miggy Dela Rosa",2,462791599,757,1,28,0.03571428571428571,7758,1,125,0.84,0.7,0.69,0.01,0.0,0.05,0.05
Despuï¿½ï¿½s de la P,Bad Bunny,1,461558540,704,0,0,0.0,2229,0,78,0.56,0.61,0.9,0.36,0.0,0.18,0.31
NEW MAGIC WAND,"Tyler, The Creator",2,461437791,1790,0,0,0.0,4708,1,140,0.62,0.46,0.73,0.1,0.0,0.67,0.11
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,460492795,19123,0,0,0.0,10829,0,147,0.33,0.39,0.61,0.32,0.0,0.77,0.03
Normal,Feid,1,459276435,641,1,36,0.027777777777777776,2461,1,170,0.71,0.59,0.56,0.04,0.0,0.27,0.12
Just Wanna Rock,Lil Uzi Vert,1,457184829,540,1,13,0.07692307692307693,3995,0,150,0.49,0.04,0.55,0.07,0.0,0.06,0.03
Something in the Orange,Zach Bryan,1,449701773,718,1,12,0.08333333333333333,3282,0,110,0.59,0.22,0.38,0.42,0.0,0.12,0.03
Murder In My Mind,Kordhell,1,448843705,809,1,20,0.05,2459,0,120,0.71,0.57,0.97,0.01,0.0,0.13,0.11
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,448500832,704,0,0,0.0,4576,1,160,0.8,0.74,0.6,0.08,0.0,0.14,0.26
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,446390129,23521,0,0,0.0,6512,0,134,0.45,0.72,0.24,0.91,0.0,0.18,0.04
Calm Down,Rï¿½ï,1,445763624,790,1,10,0.1,4013,0,107,0.81,0.82,0.78,0.38,0.0,0.12,0.04
Me and Your Mama,Childish Gambino,1,445590495,2707,0,0,0.0,8775,0,118,0.56,0.25,0.45,0.01,0.03,0.07,0.03
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,436695353,944,1,2,0.5,2780,1,98,0.73,0.6,0.85,0.17,0.0,0.24,0.05
PRC,"Natanael Cano, Peso Pluma",2,436027885,442,1,26,0.038461538461538464,961,1,138,0.78,0.89,0.83,0.1,0.0,0.12,0.05
Midnight Rain,Taylor Swift,1,433356509,536,1,4,0.25,2612,0,140,0.64,0.18,0.37,0.72,0.0,0.12,0.07
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,432719968,872,0,0,0.0,2785,1,206,0.58,0.83,0.45,0.36,0.0,0.11,0.08
Take My Breath,The Weeknd,1,432702334,977,0,0,0.0,6392,0,121,0.75,0.53,0.74,0.02,0.0,0.11,0.05
OMG,NewJeans,1,430977451,463,1,27,0.037037037037037035,1783,1,127,0.8,0.74,0.77,0.36,0.0,0.11,0.04
Last Night,Morgan Wallen,1,429829812,434,1,19,0.05263157894736842,2420,0,204,0.52,0.52,0.68,0.46,0.0,0.15,0.04
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,429504768,13978,0,0,0.0,888,0,180,0.51,0.87,0.58,0.36,0.0,0.18,0.04
Super Freaky Girl,Nicki Minaj,1,428685680,606,0,0,0.0,4827,0,133,0.95,0.91,0.89,0.06,0.0,0.31,0.24
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,427486004,970,0,0,0.0,6890,1,124,0.79,0.79,0.84,0.02,0.0,0.05,0.05
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,426204830,1710,0,0,0.0,5342,0,141,0.37,0.17,0.67,0.02,0.0,0.34,0.09
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,422691058,1068,1,10,0.1,4846,0,101,0.67,0.4,0.9,0.03,0.0,0.34,0.06
Fuera del mercado,Danny Ocean,1,421365166,782,1,21,0.047619047619047616,2499,0,92,0.45,0.27,0.67,0.32,0.0,0.13,0.14
Notion,The Rare Occasions,1,421135627,2804,0,0,0.0,2393,0,160,0.31,0.3,0.88,0.07,0.0,0.08,0.08
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,421040617,928,0,0,0.0,4091,1,110,0.72,0.67,0.68,0.0,0.0,0.14,0.04
Un Ratito,Bad Bunny,1,417230415,704,1,6,0.16666666666666666,1112,1,93,0.79,0.22,0.55,0.31,0.0,0.12,0.05
The Color Violet,Tory Lanez,1,415932686,851,1,32,0.03125,2585,1,105,0.65,0.46,0.53,0.16,0.0,0.09,0.05
Happier Than Ever - Edit,Billie Eilish,1,412795151,986,0,0,0.0,1959,0,81,0.45,0.12,0.57,0.07,0.0,0.23,0.03
Those Eyes,New West,1,411747614,1796,1,14,0.07142857142857142,1507,0,120,0.6,0.24,0.35,0.73,0.0,0.31,0.03
Angel Baby,Troye Sivan,1,408843328,943,1,9,0.1111111111111111,1959,0,145,0.56,0.41,0.57,0.01,0.0,0.13,0.03
Shut up My Moms Calling,Hotel Ugly,1,405136812,1520,1,14,0.07142857142857142,1788,1,139,0.48,0.37,0.41,0.32,0.0,0.1,0.1
No Se Va,Grupo Frontera,1,404887295,712,1,18,0.05555555555555555,924,0,173,0.59,0.69,0.53,0.12,0.0,0.23,0.03
Sleigh Ride,The Ronettes,1,404664135,22054,0,0,0.0,10114,0,92,0.53,0.84,0.77,0.4,0.0,0.32,0.03
Karma,Taylor Swift,1,404562836,536,1,23,0.043478260869565216,3818,0,90,0.64,0.1,0.62,0.07,0.0,0.48,0.07
